hprd_id	geneSymbol	refseq_id	all_nomenclature(separated by semi-colon)
01572	RLBP1	NP_000317.1	Cellular retinaldehyde binding protein;CRALBP
01573	RARG	NP_000957.1	RAR gamma 1;RARC;NR1B3;Retinoic acid receptor gamma isoform 1;Retinoic acid receptor gamma isoform 2
01574	RB1	NP_000312.2	RB;OSRC;Retinoblastoma suspectibility protein;Retinoblastoma associated protein;PP110;P105-RB
01575	ARID4A	NP_002883.3	RBBP1;AT rich interactive domain 4A;RBP1 like;Retinoblastoma-binding protein 1 isoform II;Retinoblastoma-binding protein 1 isoform III;Retinoblastoma-binding protein 1 isoform I
01576	RBL2	NP_005602.3	Retinoblastoma related gene RB2;RB2;p130;PRB2;RBR-2
01577	RXRA	NP_002948.1	Retinoic acid receptor RXR alpha;NR2B1
01578	RXRB	NP_068811.1	Retinoic acid receptor RXR beta;NR2B2;H 2RIIBP;RCoR 1;MGC1831;DAUDI6;MHC class I promoter binding protein
01579	RXRG	NP_008848.1	RXRC;Retinoic acid receptor RXR-gamma;NR2B3;OTTHUMP00000060418;Retinoid X receptor, gamma isoform a;Retinoid X receptor, gamma isoform b
01580	RBP4	NP_006735.2	Plasma retinol binding protein;PRO2222;PRBP
01581	RBP3	NP_002891.1	RBPI;IRBP;Retinol binding protein, interstitial;Interstial retinol binding protein
01582	RHAG	NP_000315.2	Rhesus associated polypeptide, 50-KD;RH50A;RH2;Erythrocyte plasma membrane 50 kDa glycoprotein
01583	TST	NP_003303.2	RDS;MGC19578;Rhodanese
01584	RHO	NP_000530.1	Opsin 2;OPN2
01585	GRK1	NP_002920.1	RHOK;RK;G protein dependent receptor kinase 1
01586	LMO2	NP_005565.2	Rhombotin 2;Rhombotin like 1;RBTNL1;RHOM2;T cell translocation gene 2;TTG2;RHM2;Cysteine rich protein TTG 2;T-cell translocation protein 2;LIM only protein 2;RBTN2
01587	RRM2	NP_001025.1	Ribonucleotide reductase M2 polypeptide;Ribonucleotide reductase R2 subunit;Ribonucleotide reductase small subunit;R2;RIR2;Ribonucleoside diphosphate reductase M2 chain;Ribonucleotide reductase small chain;RR2
01588	RRM1	NP_001024.1	Ribonucleotide reductase M1 polypeptide;Ribonucleotide reductase large subunit;Ribonucleotide reductase R1 subunit;R1;RIR1;Ribonucleoside diphosphate reductase M1 chain;Ribonucleotide reductase large chain;RR1
01589	RPIA	NP_653164.2	Ribose 5 phosphate epimerase;RPI;Phosphoriboisomerase
01590	RNASEL	NP_066956.1	Ribonuclease 4;RNS4;RNase L;2-5A-dependent RNase;2-5A-dependent ribonuclease;HPC1;PRCA1;Interferon-induced 2-5A-dependent RNase;2`,5`-oligoisoadenylate synthetase dependent;MGC104972;DKFZp781D08126
01591	RNASE1	NP_002924.1	Ribonuclease, pancreatic;RNase A;RNase UpI-1;RNS1;RIB1;RNP;Ribonuclease, RNase A family, 1 (pancreatic);MGC12408;Pancreatic ribonuclease;EC 3.1.27.5;Pancreatic ribonuclease precursor
01592	RPS6	NP_001001.2	40S ribosomal protein S6;Phosphoprotein NP33
01593	RPS25	NP_001019.1	40S ribosomal protein S25
01594	RPL19	NP_000972.1	60S ribosomal protein L19
01595	RPL30	NP_000980.1	60S ribosomal protein L30
01596	RPL35A	NP_000987.2	60S ribosomal protein L35A
01597	RPL36AL	NP_000992.1	RPL36A;60S ribosomal protein L36A;Ribosomal protein HL44
01598	RPN1	NP_002941.1	Dolichyl diphosphooligosaccharide protein glycosyltransferase 67 kDa subunit
01599	RPS11	NP_001006.1	40S ribosomal protein S11
01600	RPS17	NP_001012.1	40S ribosomal protein S17;Ribosomal protein S17a like 1;RPS17L1;Ribosomal protein S17a;RPS17A;Ribosomal protein S17b like 2;RPS17L2;Ribosomal protein S17b;RPS17B
01601	RPS18	NP_072045.1	40S ribosomal protein S18;KE3;HKE3;D6S218E
01602	RPL22	NP_000974.1	60S ribosomal protein L22;Epstein Barr associated protein;EAP;Epstein Barr virus small RNA associated protein;EBER associated protein;Heparin binding protein HBp15;Heparin binding protein 15;Epstein Barr encoded RNA associated protein
01603	RPL12	NP_000967.1	60S ribosomal protein L12
01604	RPS13	NP_001008.1	40S ribosomal protein S13
01605	RPS21	NP_001015.1	40S ribosomal protein S21
01606	RPS3A	NP_000997.1	V-fos transformation effector protein 1
01607	RPL4	NP_000959.2	60S ribosomal protein L4
01608	RPE	NP_008847.1	Ribulose phosphate 3 epimerase;HUSSY 17;RPE2-1;MGC2636;EC 5.1.3.1;Ribulose 5 phosphate 3 epimerase isoform 1;Ribulose 5 phosphate 3 epimerase isoform 2
01609	RPN2	NP_002942.2	Dolichyl diphosphooligosaccharide protein glycosyltransferase 63 kDa subunit;RIBIIR
01610	RPLP0	NP_444505.1	Ribosomal phosphoprotein acidic P0;60S acidic ribosomal protein P0;L10E;MGC88175;PRLP0;RPP0;P0;Acidic ribosomal phosphoprotein P0
01611	RPLP1	NP_000994.1	60S acidic ribosomal protein P1;Ribosomal phosphoprotein acidic P1;P1;RPP1;FLJ27448;Ribosomal protein P1;Acidic ribosomal phosphoprotein P1;Ribosomal protein P1 isoform 1;Ribosomal protein P1 isoform 2
01612	RPLP2	NP_000995.1	Ribosomal phosphoprotein acidic P2;60S acidic ribosomal protein P2
01613	RPS15	NP_001009.1	RIG;40S ribosomal protein S15;RIG protein
01614	RLF	NP_036553.2	Rearranged LMYC fusion;Zinc finger protein Rlf;Rearranged L-myc fusion gene protein;Zn-15 related protein
01615	DDX5	NP_004387.1	RNA helicase, 68-KD;Helicase, RNA, nuclear 1;HLR1;G17P1;Nuclear antigen, 68-KD;p68;RNA-dependent ATPase;DEAD/H Box 5;Probable RNA-dependent helicase p68;DEAD-box protein p68;DEAD-box protein 5;HELR
01616	ROM1	NP_000318.1	Rod outer segment protein 1;ROSP1
01617	SNRNP70	NP_003080.2	RNA, U1 small nuclear associated protein;U1RNP;U1AP;Ribonucleoprotein, small nuclear;RPU1;Ribonucleoprotein U1, small nuclear, 70 kD;U170K;RNP antigen;U1 small nuclear ribonucleoprotein 70 kDa;U1 snRNP 70 kDa;U1-70K;RNPU1Z;Small nuclear ribonucleoprotein 70kD polypeptide (RNP antigen);snRNP70;U1AP1;U1 small nuclear ribonucleoprotein 70 kDa isoform a
01618	RYR1	NP_000531.2	Skeletal muscle type ryanodine receptor;Skeletal muscle calcium release channel;RYDR;Sarcoplasmic reticulum calcium release channel;Skeletal muscle ryanodine receptor isoform 1;Skeletal muscle ryanodine receptor isoform 2
01619	RYR2	NP_001026.2	Cardiac muscle ryanodine receptor calcium release channel;Cardiac muscle type ryanodine receptor
01620	RYR3	NP_001027.3	RyR3;HBRR;Ryanodine receptor, brain;Brain type ryanodine receptor;Brain ryanodine receptor calcium release channel
01621	AHCY	NP_000678.1	S adenosyl L homocysteine hydrolase;SAHH
01622	AMD1	NP_001625.2	AMD;AdoMetDC;SamDC;DKFZp313L1234;FLJ26964;S-adenosylmethionine decarboxylase proenzyme;EC 4.1.1.50;S-adenosylmethionine decarboxylase alpha chain;S-adenosylmethionine decarboxylase beta chain;S-adenosylmethionine decarboxylase 1 isoform 1 precursor;S-adenosylmethionine decarboxylase 1 isoform 2
01623	PRB1	NP_005030.2	Basic salivary proline rich protein BstNI type 1;Salivary protein Pe;Parotid middle band protein;PM;PMF;PMS;CP3;CP4;CP5;Ps 1;Ps 2;PRB1L;PRB1M;PRB1 large length copy;Basic proline-rich protein;Salivary proline-rich protein;Salivary proline-rich protein 1;BstNI type basic salivary proline-rich protein 1;Basic salivary proline-rich protein 1;Proline-rich protein BstNI subfamily 1 isoform 1 precursor;Proline-rich protein BstNI subfamily 1 isoform 2 precursor;Proline-rich protein BstNI subfamily 1 isoform 3 precursor
01624	PRB4	NP_002714.2	Basic salivary proline rich protein BstNI type 4;Salivary protein Po
01625	SAG	NP_000532.2	S-Antigen;S-Arrestin;Retinal S-antigen;Rod photoreceptor arrestin
01626	TSPAN31	NP_005972.1	-
01627	STIL	NP_001041631.1	TAL1 (SCL) interrupting locus;SIL;TAL1;SCL/TAL1 interrupting locus isoform 1;SCL/TAL1 interrupting locus isoform 2
01628	SCTR	NP_002971.2	SecR;HSR;SR
01629	FUT2	NP_000502.4	Fucosyl transferase 2;Secretor factor;Se;SEC2;Secretor blood group alpha-2-fucosyltransferase;GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2;Alpha(1,2)FT 2;SE2;Galactoside 2-L-fucosyltransferase 2
01630	CYTH1	NP_004753.1	Pleckstrin homology sec7 and coiled coil domains protein 1;Sec7;SEC7 homolog B2-1;B2-1;D17S811E;Cytoadhesin 1;Homolog of secretory protein SEC7;Pleckstrin homology, Sec7 and coiled/coil domains 1 (cytohesin 1);Pleckstrin homology, Sec7 and coiled coil domains 1 isoform 1;Pleckstrin homology, Sec7 and coiled coil domains 1 isoform 2
01631	SPARC	NP_003109.1	Secreted protein acidic cysteine rich;Secreted protein acidic and rich in cysteine;Basement membrane protein BM-40;ON
01632	SPR	NP_003115.1	-
01633	SDS	NP_006834.2	L-serine dehydratase;L-serine deaminase;SDH
01634	HTR1B	NP_000854.1	5 hydroxytryptamine receptor 1B;HTR1DB;S12
01635	HTR1E	NP_000856.1	5-hydroxytryptamine receptor 1E;5-HT1E;S31
01636	HTR1D	NP_000855.1	5-hydroxytryptamine receptor 1D;5-hydroxytryptamine receptor 1D-alpha;HTR1DA;RDC4
01637	HTR1F	NP_000857.1	5 Hydroxytryptamine receptor 1F;5 Hydroxytryptamine 1E like receptor;HTR1EL;Serotonin 5 HT 1E like receptor;MR77
01638	HTR2A	NP_000612.1	5-hydroxytryptamine receptor 2A;Serotonin 5-HT-2 receptor;HTR2
01639	HTR7	NP_062873.1	5-hydroxytryptamine receptor 7;5-HT-7;5-HT-X serotonin receptor;5HT7;5-HT-X;Serotonin receptor 7;5HT7d;5-hydroxytryptamine receptor 7 isoform a;5-hydroxytryptamine receptor 7 isoform b;5-hydroxytryptamine receptor 7 isoform d
01640	SLC6A4	NP_001036.1	HTT;Serotonin transporter;5-hydroxytryptamine transporter;5HT transporter;Sodium dependent serotonin transporter;5HTT;SERT
01641	SEMG1	NP_002998.1	Seminal plasma motility inhibitor precursor;Semenogelin I protein;Seminal basic protein;Semenogelin;SPMIP;SEMG;SGI;MGC14719;Semen coagulating protein;dJ172H20.2;Semenogelin I isoform a preproprotein;Semenogelin I isoform b preproprotein
01642	SEMG2	NP_002999.1	SGII
01643	SHMT1	NP_004160.3	Serine hydroxymethyltransferase 1;Serine methylase;hcSHMT;cSHMT;SHMT;Serine hydroxymethyltransferase;Glycine hydroxymethyltransferase;MGC15229;MGC24556;Serine hydroxymethyltransferase 1 (soluble);EC 2.1.2.1;14 kDa protein;Cytoplasmic serine hydroxymethyltransferase;Serine hydroxymethyltransferase 1 (soluble) isoform 1;Serine hydroxymethyltransferase 1 (soluble) isoform 2
01644	SRP19	NP_003126.1	Signal recognition particle 19 kDa
01645	SRPR	NP_003130.2	Signal recognition particle receptor alpha subunit;Docking protein alpha;Docking protein;SR alpha;DP alpha
01646	SHBG	NP_001031.2	Sex hormone binding globulin;ABP;Sex steroid binding protein;Testis specific androgen binding protein;SBP
01647	SPRR1A	NP_005978.2	Cornifin alpha;Cornifin A;SPR-1A;SPRK;CORA
01648	SPRR1B	NP_003116.2	14.9 kDa pancornulin;Cornifin beta;Cornifin B;GADD33;Cornifin;SPR1B
01649	SPRR2A	NP_005979.1	SPR2-1;SPR-2A
01650	SPRR2B	NP_008876.3	SPR-2B
01651	SPRR2C	NP_006509.1	-
01652	SPRR3	NP_005407.1	Esophagin
01653	SNRPN	NP_073717.1	SMN;SNRNP-N;SM protein N;Sm-N;SM-D;SNURF-SNRPN;RT-LI;HCERN3;Tissue-specific splicing protein;Small nuclear ribonucleoprotein polypeptide N variant
01654	CCL1	NP_002972.1	Small inducible cytokine A1;T lymphocyte secreted protein I-3;I309;Small inducible cytokine subfamily A member 1;SCYA1;TCA3;Inflammatory cytokine I-309
01655	SNRPB	NP_937859.1	snRNP-B;Sm protein B/B`;Sm-B/Sm-B`;SNRPB1;Small nuclear ribonucleoprotein polypeptides B and B1;Small nuclear ribonucleoprotein polypeptide B/B` isoform B`;Small nuclear ribonucleoprotein polypeptide B/B` isoform B
01656	CCL3	NP_002974.1	SCYA3;Macrophage inflammatory protein 1 alpha;MIP1A;LD78 alpha;Small inducible cytokine A3;MIP 1 alpha Tonsillar lymphocyte LD78 alpha protein;G0/G1 switch regulatory protein 19-1;G0S19-1 protein;SIS beta;PAT 464.1
01657	CCL4	NP_002975.1	SCYA4;Macrophage inflammatory protein 1 beta;MIP1B;Immune activation 2;ACT2;Lymphocyte activation gene 1;LAG1;AT744.1;Small inducible cytokine A4;MIP 1 beta;T cell activation protein 2;PAT 744;H400;SIS gamma;Lymphocyte activation gene 1 protein;LAG-1;HC21;G-26 T lymphocyte secreted protein
01658	SNRPA	NP_004587.1	U1 small nuclear ribonucleoprotein A;U1 snRNPA protein
01659	SLC8A1	NP_066920.1	Sodium/calcium exchanger 1;NCX1
01660	SLC9A3	NP_004165.2	Sodium/hydrogen exchanger 3;Sodium/hydrogen exchanger 3, apical epithelial;Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3;NHE3
01661	SLC17A1	NP_005065.2	Renal sodium dependent phosphate transport protein 1;NPT1;Sodium/phosphate cotransporter 1;Sodium/phosphate transporter 1, kidney;Renal sodium phosphate transport protein 1
01662	ATP1A1	NP_000692.2	Alpha 1 Na,K-ATPase;ATPase Na+/K+ transporting alpha 1 polypeptide;Sodium potassium ATPase alpha 1 polypeptide;Na,K-ATPase alpha A catatlytic polypeptide;Sodium/potassium transporting ATPase alpha 1 chain;Sodium pump 1;Na+/K+ ATPase 1;Na+/K+ -ATPase alpha 1 subunit isoform b proprotein;Na+/K+ -ATPase alpha 1 subunit isoform a proprotein
01663	ATP1B1	NP_001668.1	ATP1B;Sodium/potassium transporting ATPase beta 1 chain;Na,K-ATPase beta 1 polypeptide;ATPase Na+/K+ transporting beta 1 polypeptide;Na+/K+ -ATPase beta 1 subunit isoform b;Na+/K+ -ATPase beta 1 subunit isoform a
01664	ATP1B2	NP_001669.3	ATPase Na+/K+ transporting beta 2 polypeptide;Na,K-ATPase beta 2 polypeptide;Adhestion molecule on glia;Sodium/potassium transporting ATPase beta 2 chain;Sodium/potassium dependent ATPase beta 2 subunit;AMOG
01665	ATP1A2	NP_000693.1	ATPase Na+/K+ transporting alpha 2 polypeptide;Sodium potassium ATPase alpha 2 polypeptide;Na,K-ATPase alpha A(+) catalytic polypeptide;Na,K-ATPase alpha B polypeptide;Sodium/potassium transporting ATPase alpha2 chain;Sodium pump 2;Na+/K+ ATPase 2;KIAA0778;Migraine hemiplegic 2;MHP2;FHM2
01666	ATP1A3	NP_689509.1	Sodium Potassium ATPase, alpha 3 polypeptide;ATPase, Na+/K+ transporting, alpha 3 polypeptide;Sodium/potassium transporting ATPase alpha 3 chain;Sodium pump 3;Na+/K+ ATPase 3
01667	ATP12A	NP_001667.4	ATPase, Na+/K+ transporting, alpha polypeptide like 1;Sodium/potassium ATPase, alpha polypeptide like;Potassium transporting ATPase alpha chain 2;Non-gastric H+/K+ ATPase alpha subunit
01668	SLC5A1	NP_000334.1	SGLT1;Sodium glucose transporter 1;Sodium glucose cotransporter, intestinal;High affinity sodium glucose cotransporter;NAGT
01669	SCN1A	NP_008851.3	Sodium channel, brain type I, alpha subunit;NaC1;Sodium channel protein, brain I alpha subunit;SCN1
01670	SCN2A1	AAA18895.1	-
01671	SCN3A	NP_008853.3	Sodium channel, brain type III, alpha;NAC3;Voltage gated sodium channel subtype III;Sodium channel, voltage gated, type III, alpha polypeptide;Sodium channel, voltage-gated, type III, alpha isoform 2;Sodium channel, voltage-gated, type III, alpha isoform 1;Sodium channel, voltage-gated, type III, alpha isoform 3
01672	SLC10A1	NP_003040.1	Sodium/taurocholate cotransporting polypeptide;Sodium/taurocholate cotransporting polypeptide, hepatic;Sodium/bile acid cotransporter;NTCP;NTCP1
01673	SSTR1	NP_001040.1	Somatostatin receptor type 1;SS1R;SRIF 2
01674	SSTR2	NP_001041.1	Somatostatin receptor type 2;SS2R;SRIF-1;SSR2
01675	SSTR3	NP_001042.1	Somatostatin receptor type 3;SS3R;SSR-28
01676	SSTR4	NP_001043.2	Somatostatin receptor type 4;SS4R
01677	SSTR5	NP_001044.1	Somatostatin receptor type 5;SS5R
01678	SON	NP_620305.1	BASS1;DBP-5;Bax antagonist selected in Saccharomyces 1;SON3;SON protein;NREBP;SON DNA binding protein isoform B;SON DNA binding protein isoform F
01679	SORD	NP_003095.2	Sorbitol dehydrogenase 1;SORD1;Sorbitol dehydrogenase 2;SORD2
01680	SRI	NP_003121.1	MDR class 4;CP-22;V19;SCN;Multidrug resistant complex class 4;H_RG167B05.1;Sorcin (class 4 gene);Match to sorcin protein P30626 (PID:g267021);Calcium binding protein amplified in mutlidrug-resistant cells;Sorcin isoform a;Sorcin isoform b;22 kDa protein
01681	SOS1	NP_005624.2	SOS1 guanine nucleotide exchange factor;Son of sevenless, homolog 1;GF1;GGF1;GINGF;HGF;NS4;Gingival fibromatosis, hereditary, 1;Gingival fibromatosis
01682	TFF2	NP_005414.1	Spasmolytic protein 1;Spasmolytic polypeptide;Spasmolysin;SML1;SP
01683	SPTBN1	NP_003119.2	Spectrin nonerythroid beta subunit;SPTB2;Fodrin beta chain;Beta II spectrin;Spectrin beta II;Spectrin beta nonerythrocytic 1;Spectrin beta non-erythrocytic 1 isoform 2;Spectrin beta non-erythrocytic 1 isoform 1
01684	SPTAN1	NP_001123910.1	Non-erythrocytic spectrin alpha;NEAS;Alpha-II spectrin;SPTA2;calspectin
01685	SPTA1	NP_003117.2	Erythroid alpha spectrin;SPTA;Spectrin alpha chain, erythrocyte
01686	SPTB	NP_001020029.1	Spectrin beta chain, erythrocyte;SPTB1;Spectrin beta isoform b;HSpTB1;Spectrin beta;Beta spectrin;Membrane cytoskeletal protein;Beta I spectrin form betaI sigma3;Beta-I spectrin;Spectrin beta isoform a
01687	ODF1	NP_077721.2	Outer dense fiber of sperm tails 1;Outer dense fiber of sperm tails, 27-KD;ODF27;Sperm outer dense fiber;SODF;ODFP
01688	PRM1	NP_002752.1	Cysteine rich protamine;Protamine P1;Protamine 1
01689	ZP2	NP_003451.1	Sperm receptor, secondary;Zona pellucida sperm binding protein 2
01690	ZP3	NP_001103824.1	Zona pellucida glycoprotein 3A;ZP3A;sperm receptor;Zona pellucida glycoprotein ZP3;Zona pellucida protein C;Zona pellucida glycoprotein 3B,;ZP3B;Zona pellucida sperm binding protein 3
01691	PRM2	NP_002753.2	HP3;Protamine P4;HP4;Basic nuclear protein HPS1;Basic nuclear protein HPS2;HPI1;HPI2;Human intermediate basic protein 2;Human intermediate basic protein 3;Sperm protamine P2;Sperm histone P2;HP2;Protamine P2;Protamine P3
01692	SRM	NP_003123.2	Spermidine synthase-1;Putrescine aminopropyltransferase;SPDSY;SPS1
01693	ANK1	NP_001135918.1	Ankyrin R;ANK;Erythrocyte ankyrin;Ankyrin 1 isoform 3;Ankyrin 1 isoform 4;Ankyrin 1 isoform 2;Ankyrin 1 isoform 5;Ankyrin 1 isoform 6;Ankyrin 1 isoform 7;Ankyrin 1 isoform 8;Ankyrin 1 isoform 1
01694	FDFT1	NP_004453.3	Squalene synthase;DGPT;SQS;SS;FPP farnesyltransferase
01695	SOX4	NP_003098.1	Ecotropic viral integration site 16;EVI16;Transcription factor SOX 4
01696	STATH	NP_003145.1	STR;Statherin isoform a;Statherin isoform b
01697	CSTA	NP_005204.1	Cystatin A;STFA;STF1;Cystatin AS
01698	KITLG	NP_000890.1	Mast cell growth factor;MGF;MGF stem cell factor;SCF;Steel factor;Kitl;SF;C-kit ligand;Stem cell factor;KL-1;KIT ligand isoform a precursor;KIT ligand isoform b precursor
01699	SRD5A1	NP_001038.1	3 oxo 5 alpha steroid 4 dehydrogenase 1;Steroid-5-alpha-reductase, alpha polypeptide 1;3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1;SR type 1;S5AR;5AR1;EC 1.3.99.5
01700	SCP2	NP_002970.2	SCPX;Sterol carrier protein X;Nonspecific lipid transfer protein mitochondrial;NSL TP;Sterol carrier protein 2 isoform 1 proprotein;Sterol carrier protein 2 isoform 1 precursor;Sterol carrier protein 2 isoform 2 precursor;Sterol carrier protein 2 isoform 3 precursor;NLTP;Nonspecific lipid-transfer protein;SCP-2;Sterol carrier protein 2 isoform 2
01701	SREBF1	NP_001005291.1	Sterol regulatory element binding protein 1;SREBP1;Sterol regulatory element binding transcription factor 1 isoform a;Sterol regulatory element binding transcription factor 1 isoform b
01702	NR5A1	NP_004950.2	SF1;Steroidogenic factor 1;Adrenal 4 binding protein;AD4BP;STF 1;Steroid hormone receptor AD4BP;ELP;FTZ1;FTZF1;Fushi tarazu factor homolog 1
01703	MMP3	NP_002413.1	MMP 3;Stromelysin I;STMY1;STR1;Transin;Progelatinase
01704	MMP10	NP_002416.1	Stromelysin II;STMY2;MMP-10;Transin-2;SL-2
01705	MMP11	NP_005931.2	MMP 11;Stromelysin 3;STMY3
01706	CLU	NP_001822.2	Apolipoprotein J;APOJ;Sulfated glycoprotein 2;SGP2;Complement associated protein SP-40,40;Complement lysis inhibitor;Complement cytolysis inhibitor;CLI;Testosterone repressed prostate message 2;TRPM2;NA1;NA2;Clusterin isoform 2;Clusterin isoform 1
01707	SDHB	NP_002991.2	Succinate dehydrogenase 1, iron sulfur subunit;SDH1;Succinate dehydrogenase iron-sulfur protein, mitochondrial;Succinate dehydrogenase complex, subunit B, iron sulfur;Iron-sulfur subunit of complex II;Ip;SDH;SDHIP
01708	SOD3	NP_003093.2	Superoxide dismutase, extracellular;Extracellular superoxide dismutase [Cu-Zn];EC-SOD
01709	EPCAM	NP_002345.2	Epithelial cell surface antigen;Epithelial glycoprotein 2;EGP;EGP40;EpCAM;Adenocarcinoma associated antigen;KSA;M1S2;M4S1;MIC18;GA733-2;TROP1;Cell surface glycoprotein Trop1
01710	SYT1	NP_005630.1	p65;SYT;SVP65
01711	SURF1	NP_003163.1	Surfeit locus protein 1;SURF-1
01712	RPL7A	NP_000963.1	Surfeit 3;SURF3;Surfeit locus protein 3;PLA-X polypeptide;60S ribosomal protein L7a;Thyroid hormone receptor uncoupling protein
01713	MED22	NP_598395.1	Surfeit 5 isoform c;Surfeit locus protein 5;MED24;MGC48682;Surfeit 5 isoform b
01714	SURF6	NP_006744.2	Surfeit locus protein 6
01715	SURF4	NP_149351.1	Surfeit locus protein 4;ERV29
01716	VAMP1	NP_055046.1	Vesicle associated membrane protein 1;SYB1;DKFZp686H12131;Vesicle-associated membrane protein 1 isoform 1;Vesicle-associated membrane protein 1 isoform 2;Vesicle-associated membrane protein 1 isoform 3
