00001	-	NP_000680.2	ALDH1A1	General	Aldehyde dehydrogenase activity (GO:0004028)	1709013	Aldehyde metabolism (GO:0006081)	1709013	-	-
03866	-	NP_001621.2	ANXA8L2	General	Calcium ion binding (GO:0005509)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	8018923
03867	-	NP_005594.1	ATP8B1	General	ATPase activity (GO:0016887)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
03868	-	NP_002960.2	MAPK12	General	Protein serine/threonine kinase activity (GO:0004674)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	11991731,17081983
03869	-	NP_005242.1	FOXC2	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	11078474
03870	-	NP_000377.1	BLMH	General	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Endoplasmic reticulum (GO:0005783); Ribosome (GO:0005840)	8639621,8639621,10353821,10353821
03871	-	NP_004812.1	HAND1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	1182795,11802795
03872	-	NP_068808.1	HAND2	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
03873	-	NP_068370.1	NR1D1	General	Ligand-dependent nuclear receptor activity (GO:0004879)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634)	12454280
03874	-	NP_004632.1	MLLT10	General	Transcription factor activity (GO:0003700)	7888665	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	7888665	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	10860745,11423977,11756182,11756182
03875	-	NP_001003694.1	BRPF1	General	Transcription regulator activity (GO:0030528)	7906940	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	7906940	Nucleus (GO:0005634)	7906940
03875	03875_1	NP_004625.2	BRPF1	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
03876	-	NP_001430.1	EXTL2	General	Transferase activity (GO:0016740)	10318803	Metabolism (GO:0008152); Energy pathways (GO:0006091)	10318803,10318803	Extracellular matrix (GO:0005578)	10318803
03876	03876_1	NP_001430.1	EXTL2	Isoform_specific	Transferase activity (GO:0016740)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
03877	-	NP_001135757.1	RPS24	General	Structural constituent of ribosome (GO:0003735)	-	Protein metabolism (GO:0019538)	-	Ribosome (GO:0005840)	1588318
03878	-	NP_002992.1	SDHC	General	Catalytic activity (GO:0003824)	9714607	Electron transport (GO:0006118)	9714607	Mitochondrial membrane (GO:0005740)	9714607,11062460
03879	-	NP_001154.2	APBA1	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886); Nucleus (GO:0005634)	11010978,9952408,9395480,9952408
03880	-	NP_005820.1	AP3S2	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Endosome (GO:0005768)	12967569
03881	-	NP_004421.2	EGR3	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
03882	-	NP_005540.1	KCNA10	General	Voltage-gated ion channel activity (GO:0005244)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	10836990
03883	-	NP_000483.3	CFTR	General	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783); Apical membrane (GO:0016327)	12080183,11707463,16546175,16203867
03884	-	NP_006518.1	SLBP	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Ribosome (GO:0005840)	12415002,12415002,17081983,8652556
03885	-	NP_068770.2	DMRT1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	11040213
03886	-	NP_005913.2	MAP3K4	General	Protein serine/threonine kinase activity (GO:0004674)	9079650,9305639	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,9305639,9079650,12878610	Perinuclear vesicle (None)	9079650
03886	03886_1	NP_005913.2	MAP3K4	Isoform_specific	Protein serine/threonine kinase activity (GO:0004674)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03887	-	NP_002524.2	NVL	General	ATPase activity (GO:0016887)	9286697,15469983	Energy pathways (GO:0006091); Metabolism (GO:0008152)	9286697,15469983,9286697,15469983	Nucleoplasm (GO:0005654)	9286697,15469983
03887	03887_1	NP_002524.2	NVL	Isoform_specific	ATPase activity (GO:0016887)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
03888	-	NP_004599.2	TBX6	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
03889	-	NP_005320.2	HAS3	General	Molecular function unknown (GO:0005554)	-	Carbohydrate metabolism (GO:0005975)	9169154	Plasma membrane (GO:0005886)	9169154
03890	-	NP_002932.1	ROBO1	General	Cell adhesion molecule activity (GO:0005194)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	10433822
03890	03890_1	NP_002932.1	ROBO1	Isoform_specific	Cell adhesion molecule activity (GO:0005194)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17081983,17081983
03890	03890_2	NP_598334.1	ROBO1	Isoform_specific	Cell adhesion molecule activity (GO:0005194)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
03891	-	NP_068815.2	OPTN	General	Transcription regulator activity (GO:0030528)	10756201	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	10756201	Perinuclear region (GO:0048471); Cytoplasm (GO:0005737); Nucleus (GO:0005634)	11137014,9488477,11137014,10756201,15561729
03891	03891_2	NP_001008212.1	OPTN	Isoform_specific	-	-	-	-	Cytoplasm (GO:0005737)	17081983
03892	-	NP_036235.1	AUP1	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737)	12534238
03893	-	NP_006103.1	PPIE	General	Isomerase activity (GO:0016853); RNA binding (GO:0003723)	8977107,8977107	Protein metabolism (GO:0019538); RNA metabolism (GO:0016070)	8977107,8977107	Nucleus (GO:0005634)	8977107,11313484
03893	03893_1	NP_006103.1	PPIE	Isoform_specific	Isomerase activity (GO:0016853)	-	Protein metabolism (GO:0019538)	-	-	-
03894	-	NP_005922.2	MICB	General	Receptor activity (GO:0004872)	-	Immune response (GO:0006955)	-	Endoplasmic reticulum (GO:0005783); Plasma membrane (GO:0005886)	12594848,12682252,11491531
03895	-	NP_005249.1	GCHFR	General	Molecular function unknown (GO:0005554)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
03896	-	NP_001035757.1	HSF4	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	8972228
03897	-	NP_037456.5	CISH	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03898	-	NP_003015.2	ITSN1	General	Receptor signaling complex scaffold activity (GO:0030159)	12970366	Signal transduction (GO:0007165); Vesicle-mediated transport (GO:0016192)	12970366,12960435	Axon (GO:0030424); Dendrite (GO:0030425); Golgi apparatus (GO:0005794); Cytoplasm (GO:0005737); Endosome (GO:0005768); Cytosol (GO:0005829); Cytoplasmic vesicle (GO:0016023); Plasma membrane (GO:0005886); Caveola (GO:0005901); Cell surface (GO:0009986)	10336464,10336464,10336464,10922467,16874303,12970366,12970366,12960435,12970366,12970366,10336464,12960435,16874303,12960435,12960435
03898	03898_2	NP_001001132.1	ITSN1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03899	-	NP_065116.3	XPNPEP1	General	Aminopeptidase activity (GO:0004177)	-	Protein metabolism (GO:0019538)	-	Cytoplasm (GO:0005737)	11106490
03900	-	NP_005640.2	ZNF354A	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	8382778
03901	-	NP_005016.1	SERPINI1	General	Protease inhibitor activity (GO:0030414)	-	Protein metabolism (GO:0019538)	-	Cytoplasmic vesicle (GO:0016023)	12354288
03902	-	NP_004457.1	GPC5	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	9070915
03903	-	NP_000296.2	PON2	General	Antioxidant activity (GO:0016209)	1157908	Lipid metabolism (GO:0006629)	15772423	Plasma membrane (GO:0005886)	11579088
03903	03903_1	NP_000296.2	PON2	Isoform_specific	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
03904	-	NP_005914.1	MAP3K5	General	Protein serine/threonine kinase activity (GO:0004674)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Extracellular (GO:0005576)	9651337,12543931
03905	-	NP_003479.1	AKAP1	General	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Endoplasmic reticulum (GO:0005783); Mitochondrion (GO:0005739)	10995432,10995432,10995432,10352013
03905	03905_1	NP_003479.1	AKAP1	Isoform_specific	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
03906	-	NP_004145.1	P2RY6	General	G-protein coupled receptor activity (GO:0004930)	-	Anti-apoptosis (GO:0006916); Signal transduction (GO:0007165); Cell communication (GO:0007154)	12623123,12716436,12716436	Plasma membrane (GO:0005886)	11114308,8670200
03907	-	NP_004327.1	BUB1	General	Protein serine/threonine kinase activity (GO:0004674)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Chromosome (GO:0005694); Kinetochore (GO:0000776)	9660858,9660858,17113138,11129339,9660858,15561729
03908	-	NP_005695.3	PTPRU	General	Cell adhesion molecule activity (GO:0005194)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	8700514
03908	03908_1	NP_005695.3	PTPRU	Isoform_specific	Cell adhesion molecule activity (GO:0005194)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03908	03908_2	NP_573438.2	PTPRU	Isoform_specific	Cell adhesion molecule activity (GO:0005194)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
03908	03908_3	NP_573439.2	PTPRU	Isoform_specific	Cell adhesion molecule activity (GO:0005194)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
03909	-	NP_003815.1	FADD	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886); Early endosome (GO:0005769)	11859150,17159907,16498403,11740202,16498403
03910	-	NP_002950.3	SORT1	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Golgi apparatus (GO:0005794); Endosome (GO:0005768); Endoplasmic reticulum (GO:0005783)	9013611,9927419,9013611,9927419
03911	-	NP_002691.1	POU4F3	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9506947
03912	-	NP_542970.1	SIRPA	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	9070220,15383453
03913	-	NP_001014809.1	CRMP1	General	Protein binding (GO:0005515); Hydrolase activity (GO:0016787)	12482610,8973361	Cell growth and/or maintenance (GO:0008151)	11562390	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Centrosome (GO:0005813)	11562390,11562390,11562390
03914	-	NP_001377.1	DPYSL2	General	Cytoskeletal protein binding (GO:0008092)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Microtubule (GO:0005874)	10770920,15652488,10770920,15652488
03915	-	NP_004286.2	TRAF4	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165); Apoptosis (GO:0006915); Regulation of cell proliferation (GO:0042127)	12788948,12788948,12788948,12788948	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	9626059,12354113,11607847,7592751,12354113
03916	-	NP_005833.1	SPRY2	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886)	10887178,10887178
03917	-	NP_005831.1	SPRY3	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886)	12391162,10887178,12391162,10887178
03918	-	NP_000795.2	FOLR3	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576); Plasma membrane (GO:0005886)	9547271,7727426,7727426
03919	-	NP_005663.1	PSCA	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	9465086
03920	-	NP_004194.3	PKMYT1	General	Protein threonine/tyrosine kinase activity (GO:0004712)	10373560	Negative regulation of enzyme activity (GO:0043086)	10373560	Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794)	9001210,12912980,9001210,12912980
03920	03920_1	NP_004194.3	PKMYT1	Isoform_specific	-	-	-	-	Golgi apparatus (GO:0005794); Endoplasmic reticulum (GO:0005783)	9001210,9001210
03921	-	NP_002690.3	POU3F1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	8663425,12557005,8663425,12557005
03922	-	NP_006227.1	POU3F3	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9632656
03923	-	NP_055844.2	POP1	General	Ribonuclease activity (GO:0004540)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Nucleolus (GO:0005730); Ribosome (GO:0005840); Cytoplasm (GO:0005737)	8918471,17081983,11694598,9725903,15635413,11790298,15561729,17081983
03924	-	NP_005827.1	HRSP12	General	Translation regulator activity (GO:0045182)	-	Protein metabolism (GO:0019538)	-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794); Endoplasmic reticulum (GO:0005783); Nucleus (GO:0005634)	9463573,9767104,8973653,10961346,10961346,8973653
03925	-	NP_059431.1	CYTH2	General	Guanyl-nucleotide exchange factor activity (GO:0005085)	9050849	Signal transduction (GO:0007165); Regulation of gene expression, epigenetic (GO:0040029)	15277685,15277685	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794); Cytosol (GO:0005829); Nucleus (GO:0005634); Lysosome (GO:0005764)	9417041,12920129,9550703,9417041,12920129,9550703,10806099,10806099,10531036,10806099,10806099,10748148
03926	-	NP_006550.1	KHDRBS1	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Nucleolus (GO:0005730)	11932418,17081983,12112020,15635413
03926	03926_1	NP_006550.1	KHDRBS1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03927	-	NP_003480.2	NRIP1	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	7641693,17053781,15879431,15060175,11266503,17053781,15879431
03928	-	NP_002843.2	PTX3	General	Defense/immunity protein activity (GO:0003793)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	12611905
03929	-	NP_003360.2	UVRAG	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Cytoplasm (GO:0005737)	9169138
03930	-	NP_005055.2	CCL23	General	Chemokine activity (GO:0008009)	9886417,10737895	Signal transduction (GO:0007165); Regulation of cell proliferation (GO:0042127)	9886417,9104803	Extracellular (GO:0005576)	-
03930	03930_1	NP_005055.2	CCL23	Isoform_specific	Chemokine activity (GO:0008009)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03931	-	NP_002982.2	CCL24	General	Cytokine activity (GO:0005125)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	14718574
03932	-	NP_006061.2	TFG	General	Receptor regulator activity (GO:0030545)	15557341	Signal transduction (GO:0007165)	12237775	Cytoplasm (GO:0005737)	7565764,15557341
03933	-	NP_004478.3	GOLGB1	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	Golgi apparatus (GO:0005794); Extracellular (GO:0005576); Mitochondrion (GO:0005739)	7691276,14718574,15598749
03934	-	NP_002068.1	GOLGA1	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	Golgi apparatus (GO:0005794); Endosome (GO:0005768)	10209123,12972563,12972563
03935	-	NP_005470.2	FRAT1	General	Receptor signaling complex scaffold activity (GO:0030159)	12556519,10428961	Signal transduction (GO:0007165)	12556519,11445844,10428961,9034327	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	12095675,12095675
03936	-	NP_003021.3	SHOX2	General	Transcription factor activity (GO:0003700)	9466998	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	9466998	Nucleus (GO:0005634)	-
03936	03936_1	NP_001157150.1	SHOX2	Isoform_specific	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
